name,description
Bakery Items,Bakery Items category
Baking & Dessert,Baking & Dessert category
Beverages,Beverages category
Biscuits & Snacks,Biscuits & Snacks category
Breakfast Cereals,Breakfast Cereals category
Canned & Preserved,Canned & Preserved category
Coconut Products,Coconut Products category
Dairy Products,Dairy Products category
Dry Fruits & Nuts,Dry Fruits & Nuts category
Essences & Flavoring,Essences & Flavoring category
Flour & Semolina,Flour & Semolina category
Food Coloring,Food Coloring category
Fresh Ingredients,Fresh Ingredients category
Fresh Vegetables,Fresh Vegetables category
Oils & Fats,Oils & Fats category
Pasta & Noodles,Pasta & Noodles category
Pickles & Preserves,Pickles & Preserves category
Pulses & Lentils,Pulses & Lentils category
Ready-to-Cook,Ready-to-Cook category
Rice & Grains,Rice & Grains category
Sauces & Condiments,Sauces & Condiments category
Seeds & Specialty,Seeds & Specialty category
Spices & Seasonings,Spices & Seasonings category
Sugar & Sweeteners,Sugar & Sweeteners category
Syrups & Concentrates,Syrups & Concentrates category
Vinegar & Acids,Vinegar & Acids category
