item_name,category_name,rack_name,unit_of_measure,minimum_stock_level,expected_current_stock,will_be_low_stock
TATA SALT,Spices & Seasonings,Rack-1,kg,10.0,43.0,NO
SALT,Spices & Seasonings,Rack-1,kg,10.0,20.0,NO
TURMERIC POWDER,Spices & Seasonings,Rack-1,kg,5.0,48.0,NO
CHILLI POWDER,Spices & Seasonings,Rack-1,kg,5.0,36.0,NO
CORIANDER POWDER,Spices & Seasonings,Rack-1,kg,5.0,49.0,NO
SAMBAR POWDER,Spices & Seasonings,Rack-1,kg,5.0,40.0,NO
RASAM POWDER,Spices & Seasonings,Rack-1,kg,5.0,22.0,NO
CHAAT MASALA,Spices & Seasonings,Rack-1,kg,2.0,11.0,NO
K.RED CHILLI POWDER,Spices & Seasonings,Rack-1,kg,3.0,17.0,NO
CHICKEN MASALA,Spices & Seasonings,Rack-1,kg,5.0,33.0,NO
MUTTON MASALA,Spices & Seasonings,Rack-1,kg,5.0,23.0,NO
CURRY POWDER,Spices & Seasonings,Rack-1,kg,5.0,26.0,NO
ASAFOETIDA POWDER 100G,Spices & Seasonings,Rack-1,pcs,5.0,9.0,NO
ASAFOETIDA POWDER 50G,Spices & Seasonings,Rack-1,pcs,5.0,1.0,YES
MR.KING MASALA,Spices & Seasonings,Rack-1,kg,5.0,40.0,NO
DEGGI MIRCHI,Spices & Seasonings,Rack-1,kg,5.0,156.0,NO
SEERAGA SAMBA RICE,Rice & Grains,Rack-2,kg,20.0,14.0,YES
BASMATHI RICE,Rice & Grains,Rack-2,kg,20.0,23.0,NO
IDLY RICE,Rice & Grains,Rack-2,kg,15.0,27.0,NO
PONNI RICE,Rice & Grains,Rack-2,kg,15.0,6.0,YES
RAW RICE,Rice & Grains,Rack-2,kg,15.0,2.0,YES
CASHEW NUT BROKEN,Dry Fruits & Nuts,Rack-2,kg,3.0,35.0,NO
CASHEW NUT,Dry Fruits & Nuts,Rack-2,kg,3.0,41.0,NO
NOODLES,Pasta & Noodles,Rack-2,pcs,10.0,8.0,YES
PASTA,Pasta & Noodles,Rack-2,pcs,10.0,6.0,YES
CORN FLAKES,Breakfast Cereals,Rack-2,pcs,5.0,1.0,YES
BRED CRUMPS,Bakery Items,Rack-2,pcs,5.0,3.0,YES
BENGAL DAL,Pulses & Lentils,Rack-3,kg,10.0,5.0,YES
TOOR DAL,Pulses & Lentils,Rack-3,kg,10.0,19.0,NO
URID DAL,Pulses & Lentils,Rack-3,kg,10.0,22.0,NO
MOONG DAL,Pulses & Lentils,Rack-3,kg,10.0,2.0,YES
PUMKIN SEED,Seeds & Specialty,Rack-3,kg,1.0,2.0,NO
WHITE SUNDAL,Pulses & Lentils,Rack-3,kg,5.0,18.0,NO
BLACK SUNDAL,Pulses & Lentils,Rack-3,kg,5.0,19.0,NO
FRIED GRAM DAL GU,Pulses & Lentils,Rack-3,kg,5.0,46.0,NO
MOSOOR DAL,Pulses & Lentils,Rack-3,kg,5.0,0.0,YES
GREEN PEAS,Pulses & Lentils,Rack-3,kg,5.0,0.0,YES
GREEN DAL,Pulses & Lentils,Rack-3,kg,5.0,0.0,YES
FRED BEANUT,Pulses & Lentils,Rack-3,kg,5.0,0.0,YES
EYEBEEN DAL,Pulses & Lentils,Rack-3,kg,5.0,8.0,NO
OREGANO SPICE SPRINKLER,Spices & Seasonings,Rack-3,pcs,3.0,3.0,NO
ORGANO LIME SEASONING,Spices & Seasonings,Rack-3,pcs,3.0,0.0,YES
CHILLI GARLIC SPRINKLER,Spices & Seasonings,Rack-3,pcs,3.0,0.0,YES
PERI PERI SPRINKLER,Spices & Seasonings,Rack-3,pcs,3.0,2.0,YES
APPALAM,Ready-to-Cook,Rack-3,pcs,10.0,18.0,NO
FRYAMS,Ready-to-Cook,Rack-3,pcs,5.0,0.0,YES
KASTHURI MATHI,Ready-to-Cook,Rack-3,pcs,5.0,16.0,NO
COCUNUT OIL,Oils & Fats,Rack-4,ltr,5.0,5.0,NO
SESAMI OIL,Oils & Fats,Rack-4,ltr,5.0,397.0,NO
MUSTARD OIL,Oils & Fats,Rack-4,ltr,3.0,11.0,NO
OLIVE,Oils & Fats,Rack-4,ltr,2.0,0.0,YES
PICKEL,Pickles & Preserves,Rack-4,pcs,5.0,0.0,YES
FRESH CREAM,Dairy Products,Rack-4,pcs,3.0,1.0,YES
(Armel) GHEE,Oils & Fats,Rack-4,kg,3.0,3.0,NO
GROUND NUT OIL (300ml),Oils & Fats,Rack-4,pcs,20.0,47927.0,NO
MR. GOLD OIL 1961,Oils & Fats,Rack-4,pcs,10.0,39.0,NO
LONG PAYASAM SEMIYA,Pasta & Noodles,Rack-4,pcs,10.0,18.0,NO
RICE VERMICELLI,Pasta & Noodles,Rack-4,pcs,5.0,0.0,YES
DOUBLE TIGER VERMICELLI,Pasta & Noodles,Rack-4,pcs,5.0,0.0,YES
SAVORIT SEMIYA,Pasta & Noodles,Rack-4,pcs,10.0,18.0,NO
NAGA SOOJI,Flour & Semolina,Rack-4,pcs,5.0,7.0,NO
JAVARISI,Rice & Grains,Rack-4,pcs,5.0,9.0,NO
SUGAR,Sugar & Sweeteners,Rack-5,kg,20.0,4.0,YES
TEA POWDER,Beverages,Rack-5,kg,5.0,11.0,NO
MILKY MIST,Dairy Products,Rack-5,pcs,5.0,5.0,NO
BROWN SUGAR,Sugar & Sweeteners,Rack-5,kg,5.0,0.0,YES
MAWNA SUGAR,Sugar & Sweeteners,Rack-5,pcs,3.0,1.0,YES
MILK MAD,Dairy Products,Rack-5,pcs,3.0,0.0,YES
HONEY,Sugar & Sweeteners,Rack-5,pcs,3.0,3.0,NO
JANGRY,Beverages,Rack-5,kg,5.0,13921.0,NO
MARYGOLD BISCUT,Biscuits & Snacks,Rack-5,pcs,10.0,5.0,YES
OREO BISCUT,Biscuits & Snacks,Rack-5,pcs,5.0,23.0,NO
JEERA,Spices & Seasonings,Rack-5,kg,3.0,0.0,YES
PEPPER,Spices & Seasonings,Rack-5,kg,2.0,5.0,NO
FENUGREEK SEEDS,Spices & Seasonings,Rack-5,kg,2.0,0.0,YES
MUSTARD,Spices & Seasonings,Rack-5,kg,2.0,0.0,YES
BRIYANI MASALA,Spices & Seasonings,Rack-5,pcs,5.0,5.0,NO
BAY LEAF,Spices & Seasonings,Rack-5,kg,1.0,0.0,YES
CHINNAMON,Spices & Seasonings,Rack-5,kg,1.0,0.0,YES
ТОМАТО КЕТСНЕР,Sauces & Condiments,Rack-6,pcs,5.0,9.0,NO
MAYONESS,Sauces & Condiments,Rack-6,pcs,3.0,0.0,YES
WATER CASHEW NUT TIN,Canned & Preserved,Rack-6,pcs,3.0,0.0,YES
BUTTON MASHROOM TIN,Canned & Preserved,Rack-6,pcs,5.0,2.0,YES
TOMATO PUREE TIN,Canned & Preserved,Rack-6,pcs,10.0,3.0,YES
INSTANT DRY ESSENCE,Baking & Dessert,Rack-6,pcs,2.0,1.0,YES
COCO POWDER,Baking & Dessert,Rack-6,pcs,3.0,2.0,YES
WAFFY STRAWBERRY,Baking & Dessert,Rack-6,pcs,2.0,1.0,YES
THYME,Spices & Seasonings,Rack-6,pcs,2.0,2.0,NO
GULKANT,Spices & Seasonings,Rack-6,pcs,2.0,3.0,NO
LEMON SALT,Spices & Seasonings,Rack-6,pcs,3.0,1.0,YES
DYMAND DATES,Dry Fruits & Nuts,Rack-6,pcs,3.0,0.0,YES
BUBBLE TEA,Beverages,Rack-6,pcs,2.0,0.0,YES
COMPOND STRAWBERRY,Baking & Dessert,Rack-6,pcs,2.0,0.0,YES
COMPOND WHITE,Baking & Dessert,Rack-6,pcs,2.0,0.0,YES
DARK CHOCOLATE,Baking & Dessert,Rack-6,pcs,2.0,1.0,YES
DRY GRAPES,Dry Fruits & Nuts,Rack-6,kg,3.0,1.0,YES
PISTA,Dry Fruits & Nuts,Rack-6,kg,2.0,0.0,YES
BADAM,Dry Fruits & Nuts,Rack-6,kg,3.0,400.0,NO
SABJA SEED,Seeds & Specialty,Rack-6,pcs,2.0,0.0,YES
WALL NUT,Dry Fruits & Nuts,Rack-6,kg,2.0,0.0,YES
TUTTY FRUTTI,Baking & Dessert,Rack-6,pcs,3.0,0.0,YES
GELITINE,Baking & Dessert,Rack-6,pcs,3.0,2.0,YES
SOMBU,Spices & Seasonings,Rack-6,kg,2.0,2.0,NO
AROMAT POWDER,Spices & Seasonings,Rack-6,pcs,5.0,23.0,NO
OMAM,Spices & Seasonings,Rack-6,kg,1.0,0.0,YES
PEPPER POWDER,Spices & Seasonings,Rack-6,kg,2.0,0.0,YES
COCONUT POWDER,Coconut Products,Rack-6,pcs,5.0,0.0,YES
SURUL ΠΑΤΤΑΙ,Spices & Seasonings,Rack-6,kg,1.0,0.0,YES
KALPASI,Spices & Seasonings,Rack-6,kg,1.0,0.0,YES
LAVANGAM,Spices & Seasonings,Rack-6,kg,1.0,0.0,YES
STAR ANIS,Spices & Seasonings,Rack-6,kg,1.0,0.0,YES
BLACK CORDAMAM,Spices & Seasonings,Rack-6,kg,1.0,0.0,YES
CORDAMAM,Spices & Seasonings,Rack-6,kg,1.0,0.0,YES
JATHI POO,Spices & Seasonings,Rack-6,kg,1.0,0.0,YES
JATHI KAI,Spices & Seasonings,Rack-6,kg,1.0,0.0,YES
BLACK OLIVE SLICE,Canned & Preserved,Rack-7,pcs,3.0,0.0,YES
JELAPINO SLICE,Canned & Preserved,Rack-7,pcs,2.0,1.0,YES
OYSTER SAUCE,Sauces & Condiments,Rack-7,pcs,3.0,1.0,YES
BORBIQUE SAUCE,Sauces & Condiments,Rack-7,pcs,2.0,1.0,YES
MASDARD SAUCE,Sauces & Condiments,Rack-7,pcs,2.0,1.0,YES
CHILLI SWEET SACE,Sauces & Condiments,Rack-7,pcs,3.0,3.0,NO
DARK SOYA SAUSE,Sauces & Condiments,Rack-7,pcs,5.0,3.0,YES
HOIXIN SAUCE,Sauces & Condiments,Rack-7,pcs,2.0,1.0,YES
THANIYA,Sauces & Condiments,Rack-7,pcs,5.0,20.0,NO
TAMRIN,Spices & Seasonings,Rack-7,kg,3.0,0.0,YES
DRY CHILLI,Spices & Seasonings,Rack-7,kg,5.0,40947.0,NO
K.DRY CHILLI,Spices & Seasonings,Rack-7,kg,3.0,28947.0,NO
KIWI CRUSH,Syrups & Concentrates,Rack-8,pcs,2.0,0.0,YES
PINABBLE CRUSH,Syrups & Concentrates,Rack-8,pcs,2.0,0.0,YES
BLUE BERRY CRUSH,Syrups & Concentrates,Rack-8,pcs,2.0,1.0,YES
ROSE ESSENCE,Essences & Flavoring,Rack-8,pcs,3.0,0.0,YES
APPLE CRUSH,Syrups & Concentrates,Rack-8,pcs,2.0,0.0,YES
STRAWBERRY CRUSH,Syrups & Concentrates,Rack-8,pcs,3.0,2.0,YES
BUTTER SCTRATCH CRUSH,Syrups & Concentrates,Rack-8,pcs,2.0,2.0,NO
TENDER COCUNUT,Fresh Ingredients,Rack-8,pcs,5.0,1.0,YES
PASAN FRUIT CRUSH,Syrups & Concentrates,Rack-8,pcs,2.0,0.0,YES
BLUEBERRY CARCO,Syrups & Concentrates,Rack-8,pcs,3.0,4.0,NO
ΜΟΝΙΝ ΜOJITO,Syrups & Concentrates,Rack-8,pcs,1.0,1.0,NO
MANAMA GREEN MOJITO,Syrups & Concentrates,Rack-8,pcs,2.0,0.0,YES
LIME MOJITO,Syrups & Concentrates,Rack-8,pcs,2.0,0.0,YES
GREEN APPLE MAJITO,Syrups & Concentrates,Rack-8,pcs,1.0,0.0,YES
VENIGAR,Vinegar & Acids,Rack-8,pcs,5.0,3.0,YES
ROSE WATER SMALL,Essences & Flavoring,Rack-8,pcs,5.0,1.0,YES
ROSE WATER BIG,Essences & Flavoring,Rack-8,pcs,3.0,4.0,NO
KIWERA,Beverages,Rack-8,pcs,3.0,3.0,NO
TIGER ROSE MIX,Beverages,Rack-8,pcs,5.0,0.0,YES
TIGER BADAM MIX,Beverages,Rack-8,pcs,3.0,1.0,YES
TIGER PISTA MIX,Beverages,Rack-8,pcs,3.0,1.0,YES
ROSE WHITE,Essences & Flavoring,Rack-8,pcs,3.0,0.0,YES
CARDAMOM ESSENCE,Essences & Flavoring,Rack-8,pcs,3.0,2.0,YES
ROSE MILK,Beverages,Rack-8,pcs,3.0,3.0,NO
YELLOW CANEL COW,Food Coloring,Rack-8,pcs,2.0,1.0,YES
SUPER RED,Food Coloring,Rack-8,pcs,2.0,1.0,YES
RAINBOW TAPPING,Food Coloring,Rack-8,pcs,2.0,0.0,YES
RAINBOW SMALL TAPPING,Food Coloring,Rack-8,pcs,2.0,0.0,YES
CHOCOLATE SYRUP,Syrups & Concentrates,Rack-8,pcs,3.0,4.0,NO
STRAWBERRY SYRUP BIG,Syrups & Concentrates,Rack-8,pcs,3.0,3.0,NO
STRAWBERRY SYRUP SMALL,Syrups & Concentrates,Rack-8,pcs,2.0,0.0,YES
CARAMEL SYRUP,Syrups & Concentrates,Rack-8,pcs,2.0,1.0,YES
BIG GARLIC,Fresh Vegetables,Rack-8,kg,5.0,5.0,NO
COCONUT,Fresh Ingredients,Rack-8,pcs,10.0,32.0,NO
SMALL GARLIC,Fresh Vegetables,Rack-8,kg,3.0,3.0,NO
ATTA,Flour & Semolina,Rack-9,kg,25.0,0.0,YES
CORN FLOUR,Flour & Semolina,Rack-9,pcs,10.0,7.0,YES
BASAN FLOUR,Flour & Semolina,Rack-9,pcs,10.0,2.0,YES
RICE FLOUR,Flour & Semolina,Rack-9,pcs,10.0,3.0,YES
MAIDA,Flour & Semolina,Rack-9,kg,20.0,0.0,YES
SODA,Beverages,Rack-9,pcs,10.0,0.0,YES
77 UP,Beverages,Rack-9,pcs,5.0,0.0,YES
