item_name (for reference),item_id (replace with UUID after importing items),vendor_name,vendor_contact,purchase_date,inward_quantity,price_per_unit,price_without_gst,gst_percentage,price_with_gst,bill_number,created_by (replace with user UUID)
TATA SALT,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,43.0,11.0,11.0,5.0,11.55,INITIAL-STOCK,REPLACE_WITH_USER_UUID
SALT,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,20.0,11.0,11.0,5.0,11.55,INITIAL-STOCK,REPLACE_WITH_USER_UUID
TURMERIC POWDER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,48.0,11.25,11.25,5.0,11.8125,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CHILLI POWDER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,36.0,10.75,10.75,5.0,11.2875,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CORIANDER POWDER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,49.0,8.0,8.0,5.0,8.4,INITIAL-STOCK,REPLACE_WITH_USER_UUID
SAMBAR POWDER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,40.0,15.0,15.0,5.0,15.75,INITIAL-STOCK,REPLACE_WITH_USER_UUID
RASAM POWDER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,22.0,23.0,23.0,5.0,24.15,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CHAAT MASALA,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,11.0,68.0,68.0,5.0,71.4,INITIAL-STOCK,REPLACE_WITH_USER_UUID
K.RED CHILLI POWDER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,17.0,80.0,80.0,5.0,84.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CHICKEN MASALA,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,33.0,26.0,26.0,5.0,27.3,INITIAL-STOCK,REPLACE_WITH_USER_UUID
MUTTON MASALA,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,23.0,24.0,24.0,5.0,25.2,INITIAL-STOCK,REPLACE_WITH_USER_UUID
CURRY POWDER,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,26.0,30.0,30.0,5.0,31.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
ASAFOETIDA POWDER 100G,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,9.0,72.0,72.0,5.0,75.6,INITIAL-STOCK,REPLACE_WITH_USER_UUID
ASAFOETIDA POWDER 50G,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,1.0,0.0,0.0,5.0,0.0,INITIAL-STOCK,REPLACE_WITH_USER_UUID
MR.KING MASALA,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,40.0,98.0,98.0,5.0,102.9,INITIAL-STOCK,REPLACE_WITH_USER_UUID
DEGGI MIRCHI,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,156.0,110.0,110.0,5.0,115.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
SEERAGA SAMBA RICE,REPLACE_WITH_ITEM_UUID,Initial Stock Import,,2025-11-19,14.0,150.0,150.0,5.0,157.5,INITIAL-STOCK,REPLACE_WITH_USER_UUID
