name,category_name (for reference),category_id (replace with UUID after importing categories),rack_name (for reference),rack_id (replace with UUID after importing racks),godown_id (replace with UUID),unit_of_measure,minimum_stock_level,is_active
TATA SALT,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,10.0,true
SALT,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,10.0,true
TURMERIC POWDER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
CHILLI POWDER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
CORIANDER POWDER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
SAMBAR POWDER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
RASAM POWDER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
CHAAT MASALA,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,2.0,true
K.RED CHILLI POWDER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,3.0,true
CHICKEN MASALA,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
MUTTON MASALA,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
CURRY POWDER,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,kg,5.0,true
ASAFOETIDA POWDER 100G,Spices & Seasonings,REPLACE_WITH_CATEGORY_UUID,Rack-1,REPLACE_WITH_RACK_UUID,REPLACE_WITH_GODOWN_UUID,pcs,5.0,true
